Date	Close
29/09/2008	10
30/09/2008	10
01/10/2008	10
02/10/2008	10
03/10/2008	10
04/10/2008	10
05/10/2008	10
06/10/2008	10
07/10/2008	10
08/10/2008	10
09/10/2008	10
10/10/2008	10
11/10/2008	10
12/10/2008	10
13/10/2008	10
14/10/2008	10
15/10/2008	10
16/10/2008	10,001
17/10/2008	10,002
18/10/2008	10,002
19/10/2008	10,002
20/10/2008	10,003
21/10/2008	10,005
22/10/2008	10,006
23/10/2008	10,006
24/10/2008	10,007
25/10/2008	10,007
26/10/2008	10,008
27/10/2008	10,009
28/10/2008	10,009
29/10/2008	10,01
30/10/2008	10,01
31/10/2008	10,011
03/11/2008	10,012
04/11/2008	10,015
05/11/2008	10,016
06/11/2008	10,017
07/11/2008	10,017
10/11/2008	10,018
12/11/2008	10,019
13/11/2008	10,022
14/11/2008	10,023
17/11/2008	10,025
18/11/2008	10,024
19/11/2008	10,025
20/11/2008	10,075
21/11/2008	10,076
24/11/2008	10,077
25/11/2008	10,077
26/11/2008	10,08
27/11/2008	10,091
28/11/2008	10,092
01/12/2008	10,099
02/12/2008	10,108
03/12/2008	10,111
04/12/2008	10,114
05/12/2008	10,117
06/12/2008	10,118
07/12/2008	10,118
08/12/2008	10,115
09/12/2008	10,115
10/12/2008	10,119
11/12/2008	10,123
15/12/2008	10,128
16/12/2008	10,13
17/12/2008	10,14
18/12/2008	10,143
19/12/2008	10,145
22/12/2008	10,148
23/12/2008	10,137
30/12/2008	10,156
31/12/2008	10,156
02/01/2009	10,159
08/01/2009	10,174
09/01/2009	10,179
11/01/2009	10,18
13/01/2009	10,181
14/01/2009	10,181
15/01/2009	10,177
19/01/2009	10,182
20/01/2009	10,182
21/01/2009	10,197
23/01/2009	10,197
26/01/2009	10,202
27/01/2009	10,209
28/01/2009	10,246
29/01/2009	10,249
30/01/2009	10,256
02/02/2009	10,251
03/02/2009	10,27
04/02/2009	10,278
05/02/2009	10,289
06/02/2009	10,302
10/02/2009	10,292
11/02/2009	10,321
12/02/2009	10,313
16/02/2009	10,339
17/02/2009	10,326
18/02/2009	10,325
19/02/2009	10,327
20/02/2009	10,31
23/02/2009	10,298
24/02/2009	10,303
25/02/2009	10,298
26/02/2009	10,298
27/02/2009	10,285
02/03/2009	10,265
03/03/2009	10,278
04/03/2009	10,307
05/03/2009	10,259
06/03/2009	10,241
09/03/2009	10,213
10/03/2009	10,272
11/03/2009	10,273
12/03/2009	10,314
13/03/2009	10,319
16/03/2009	10,332
17/03/2009	10,341
18/03/2009	10,324
20/03/2009	10,328
23/03/2009	10,341
24/03/2009	10,35
25/03/2009	10,354
26/03/2009	10,35
27/03/2009	10,369
30/03/2009	10,369
31/03/2009	10,374
01/04/2009	10,369
