Date	Close
14/07/2008	10,001
15/07/2008	10,001
16/07/2008	10,002
17/07/2008	10,003
18/07/2008	10,004
19/07/2008	10,004
20/07/2008	10,005
21/07/2008	10,006
22/07/2008	10,006
23/07/2008	10,007
24/07/2008	10,008
25/07/2008	10,008
26/07/2008	10,009
27/07/2008	10,01
28/07/2008	10,011
29/07/2008	10,011
30/07/2008	10,012
31/07/2008	10,013
01/08/2008	10,014
02/08/2008	10,014
03/08/2008	10,015
04/08/2008	10,016
05/08/2008	10,016
06/08/2008	10,017
07/08/2008	10,018
08/08/2008	10,019
09/08/2008	10,019
10/08/2008	10,02
11/08/2008	10,021
12/08/2008	10,022
13/08/2008	10,022
14/08/2008	10,023
15/08/2008	10,024
16/08/2008	10,024
17/08/2008	10,025
18/08/2008	10,026
19/08/2008	10,027
20/08/2008	10,027
21/08/2008	10,028
22/08/2008	10,029
23/08/2008	10,029
24/08/2008	10,03
25/08/2008	10,031
26/08/2008	10,032
27/08/2008	10,032
28/08/2008	10,033
29/08/2008	10,034
30/08/2008	10,035
31/08/2008	10,035
01/09/2008	10,036
02/09/2008	10,037
03/09/2008	10,037
04/09/2008	10,038
05/09/2008	10,039
06/09/2008	10,039
07/09/2008	10,04
08/09/2008	10,041
09/09/2008	10,042
10/09/2008	10,042
11/09/2008	10,043
12/09/2008	10,044
13/09/2008	10,044
14/09/2008	10,045
15/09/2008	10,046
16/09/2008	10,046
17/09/2008	10,047
18/09/2008	10,048
19/09/2008	10,049
20/09/2008	10,049
21/09/2008	10,05
22/09/2008	10,051
23/09/2008	10,051
24/09/2008	10,052
25/09/2008	10,053
26/09/2008	10,053
27/09/2008	10,054
28/09/2008	10,055
29/09/2008	10,055
30/09/2008	10,055
01/10/2008	10,055
02/10/2008	10,056
03/10/2008	10,056
04/10/2008	10,057
05/10/2008	10,057
06/10/2008	10,057
07/10/2008	10,058
08/10/2008	10,059
09/10/2008	10,059
10/10/2008	10,06
11/10/2008	10,06
12/10/2008	10,06
13/10/2008	10,061
14/10/2008	10,061
15/10/2008	10,061
16/10/2008	10,062
17/10/2008	10,062
18/10/2008	10,063
19/10/2008	10,063
20/10/2008	10,063
21/10/2008	10,064
22/10/2008	10,064
23/10/2008	10,065
24/10/2008	10,065
25/10/2008	10,066
26/10/2008	10,066
27/10/2008	10,066
28/10/2008	10,067
29/10/2008	10,067
30/10/2008	10,068
31/10/2008	10,068
01/11/2008	10,069
02/11/2008	10,069
03/11/2008	10,069
04/11/2008	10,07
05/11/2008	10,07
06/11/2008	10,07
07/11/2008	10,071
08/11/2008	10,071
09/11/2008	10,071
10/11/2008	10,071
11/11/2008	10,071
12/11/2008	10,072
13/11/2008	10,072
14/11/2008	10,072
15/11/2008	10,072
16/11/2008	10,072
17/11/2008	10,071
18/11/2008	10,071
19/11/2008	10,071
20/11/2008	10,071
21/11/2008	10,071
22/11/2008	10,071
23/11/2008	10,071
24/11/2008	10,07
25/11/2008	10,071
26/11/2008	10,071
27/11/2008	10,071
28/11/2008	10,072
29/11/2008	10,072
30/11/2008	10,072
01/12/2008	10,073
02/12/2008	10,073
03/12/2008	10,073
04/12/2008	10,074
05/12/2008	10,074
06/12/2008	10,074
07/12/2008	10,074
08/12/2008	10,075
09/12/2008	10,075
10/12/2008	10,075
11/12/2008	10,075
12/12/2008	10,119
13/12/2008	10,119
14/12/2008	10,119
15/12/2008	10,135
16/12/2008	10,188
17/12/2008	10,196
18/12/2008	10,22
19/12/2008	10,217
20/12/2008	10,218
21/12/2008	10,218
22/12/2008	10,152
23/12/2008	10,146
24/12/2008	10,146
25/12/2008	10,146
26/12/2008	10,146
27/12/2008	10,146
28/12/2008	10,146
29/12/2008	10,143
30/12/2008	10,167
31/12/2008	10,168
01/01/2009	10,168
02/01/2009	10,222
03/01/2009	10,222
04/01/2009	10,222
05/01/2009	10,245
06/01/2009	10,257
07/01/2009	10,234
08/01/2009	10,218
09/01/2009	10,206
10/01/2009	10,206
11/01/2009	10,206
12/01/2009	10,179
13/01/2009	10,156
14/01/2009	10,099
15/01/2009	10,098
16/01/2009	10,086
17/01/2009	10,086
18/01/2009	10,087
19/01/2009	10,028
20/01/2009	9,826
21/01/2009	9,939
22/01/2009	9,828
23/01/2009	9,806
24/01/2009	9,806
25/01/2009	9,806
26/01/2009	9,893
27/01/2009	9,924
28/01/2009	10,167
29/01/2009	9,989
30/01/2009	9,955
31/01/2009	9,954
01/02/2009	9,954
02/02/2009	9,913
03/02/2009	10,067
04/02/2009	10,175
05/02/2009	10,176
06/02/2009	10,324
07/02/2009	10,324
08/02/2009	10,323
09/02/2009	10,334
10/02/2009	9,967
11/02/2009	10,018
12/02/2009	9,947
13/02/2009	9,862
14/02/2009	9,862
15/02/2009	9,862
16/02/2009	9,746
17/02/2009	9,461
18/02/2009	9,472
19/02/2009	9,413
20/02/2009	9,127
21/02/2009	9,127
22/02/2009	9,126
23/02/2009	8,948
24/02/2009	9,124
25/02/2009	9,02
26/02/2009	9,056
27/02/2009	8,999
02/03/2009	8,657
03/03/2009	8,648
