Date	Close
24/12/2010	8,908
25/12/2010	8,909
26/12/2010	8,909
27/12/2010	8,82
28/12/2010	8,837
29/12/2010	8,853
30/12/2010	8,781
31/12/2010	8,801
01/01/2011	8,802
02/01/2011	8,802
03/01/2011	8,838
04/01/2011	8,865
05/01/2011	8,784
06/01/2011	8,713
07/01/2011	8,634
08/01/2011	8,635
09/01/2011	8,635
10/01/2011	8,564
11/01/2011	8,659
12/01/2011	9,056
13/01/2011	9,217
14/01/2011	9,211
15/01/2011	9,211
16/01/2011	9,212
17/01/2011	9,108
18/01/2011	9,382
19/01/2011	9,382
20/01/2011	9,499
21/01/2011	9,633
22/01/2011	9,635
23/01/2011	9,635
24/01/2011	9,664
25/01/2011	9,593
26/01/2011	9,603
27/01/2011	9,694
28/01/2011	9,684
29/01/2011	9,684
30/01/2011	9,685
31/01/2011	9,672
01/02/2011	9,805
02/02/2011	9,853
03/02/2011	9,857
04/02/2011	9,88
05/02/2011	9,881
06/02/2011	9,882
07/02/2011	9,964
08/02/2011	9,969
09/02/2011	9,918
10/02/2011	9,843
11/02/2011	9,862
12/02/2011	9,863
13/02/2011	9,864
14/02/2011	9,841
15/02/2011	9,922
16/02/2011	10,093
17/02/2011	10,158
18/02/2011	10,17
19/02/2011	10,168
20/02/2011	10,168
21/02/2011	10,149
22/02/2011	10,13
23/02/2011	10,048
24/02/2011	9,983
25/02/2011	10,126
26/02/2011	10,123
27/02/2011	10,123
28/02/2011	10,097
01/03/2011	10,09
02/03/2011	10,063
03/03/2011	10,043
04/03/2011	10,05
05/03/2011	10,05
06/03/2011	10,051
07/03/2011	10,014
08/03/2011	9,975
09/03/2011	10,171
10/03/2011	10,026
11/03/2011	9,979
12/03/2011	9,979
13/03/2011	9,98
14/03/2011	9,965
15/03/2011	9,738
16/03/2011	9,484
17/03/2011	9,737
18/03/2011	9,792
19/03/2011	9,791
20/03/2011	9,792
21/03/2011	9,807
22/03/2011	9,812
23/03/2011	9,839
24/03/2011	9,975
25/03/2011	9,944
26/03/2011	9,944
27/03/2011	9,945
28/03/2011	10,046
29/03/2011	10,012
30/03/2011	10,072
31/03/2011	10,011
01/04/2011	10,148
02/04/2011	10,15
03/04/2011	10,151
04/04/2011	10,219
05/04/2011	10,09
06/04/2011	10,195
07/04/2011	10,18
08/04/2011	10,235
09/04/2011	10,236
10/04/2011	10,237
11/04/2011	10,194
12/04/2011	10,076
13/04/2011	10,039
14/04/2011	9,939
15/04/2011	9,978
16/04/2011	9,979
17/04/2011	9,979
18/04/2011	9,96
19/04/2011	9,875
20/04/2011	10,111
21/04/2011	10,159
22/04/2011	10,112
23/04/2011	10,112
24/04/2011	10,113
25/04/2011	10,114
26/04/2011	10,14
27/04/2011	10,267
28/04/2011	10,323
29/04/2011	10,385
30/04/2011	10,386
