Date,Close,
15/12/08,100,
16/12/08,99,97
17/12/08,99,96
18/12/08,99,95
19/12/08,99,94
22/12/08,99,92
23/12/08,99,9
29/12/08,99,84
30/12/08,99,94
02/01/09,100,82
05/01/09,100,62
06/01/09,100,63
07/01/09,100,84
08/01/09,100,72
09/01/09,100,61
12/01/09,100,7
13/01/09,100,63
14/01/09,100,8
15/01/09,100,22
16/01/09,100,9
19/01/09,99,79
20/01/09,99,42
21/01/09,99,42
22/01/09,99,3
23/01/09,98,88
26/01/09,98,63
27/01/09,98,62
28/01/09,99,55
29/01/09,99,24
30/01/09,99,33
02/02/09,99,12
03/02/09,99,12
04/02/09,99,6
05/02/09,98,67
06/02/09,99,25
09/02/09,98,82
10/02/09,98,65
11/02/09,98,8
12/02/09,98,36
13/02/09,98,21
16/02/09,98,17
17/02/09,97,41
18/02/09,97,24
19/02/09,97,16
20/02/09,96,44
23/02/09,95,69
24/02/09,96,13
25/02/09,96,7
26/02/09,96,39
27/02/09,95,83
02/03/09,95,41
03/03/09,94,33
04/03/09,94,56
05/03/09,93,97
06/03/09,93,51
09/03/09,92,73
10/03/09,93,84
11/03/09,94,26
12/03/09,94,71
13/03/09,94,84
16/03/09,94,97
17/03/09,95,43
18/03/09,95,57
19/03/09,95,77
20/03/09,96,18
23/03/09,97,13
24/03/09,96,97
25/03/09,97,48
26/03/09,98,39
27/03/09,98,37
30/03/09,97,12
31/03/09,98,3
01/04/09,98,86
02/04/09,101,4
03/04/09,101,7
06/04/09,101,48
07/04/09,100,44
08/04/09,101,38
09/04/09,103,37
14/04/09,104,4
15/04/09,104,88
16/04/09,105,66
17/04/09,106,14
20/04/09,104,94
21/04/09,105,65
22/04/09,106,1
23/04/09,106,62
24/04/09,107,52
27/04/09,106,92
28/04/09,106,69
29/04/09,107,66
30/04/09,108,99
04/05/09,110,5
05/05/09,111,31
06/05/09,112,2
07/05/09,111,39
08/05/09,113,78
11/05/09,112,64
12/05/09,112,7
13/05/09,111,53
14/05/09,112,52
15/05/09,111,97
18/05/09,113,22
19/05/09,114,28
20/05/09,114,43
22/05/09,114,22
25/05/09,114,41
26/05/09,114,29
27/05/09,114,29
28/05/09,114,52
29/05/09,115,35
02/06/09,116,49
03/06/09,116,17
04/06/09,116,3
05/06/09,116,5
08/06/09,115,99
09/06/09,115,97
10/06/09,116,57
12/06/09,117,
15/06/09,116,15
16/06/09,116,3
17/06/09,115,1
18/06/09,115,16
19/06/09,115,42
22/06/09,113,95
23/06/09,114,56
24/06/09,114,98
25/06/09,114,44
26/06/09,114,29
29/06/09,115,61
30/06/09,114,82
01/07/09,115,89
02/07/09,114,47
