Date	Close
2008-09-29	10
2008-09-30	10
2008-10-01	10
2008-10-02	10
2008-10-03	10
2008-10-04	10
2008-10-05	10
2008-10-06	10
2008-10-07	10
2008-10-08	10
2008-10-09	10
2008-10-10	10
2008-10-11	10
2008-10-12	10
2008-10-13	10
2008-10-14	10
2008-10-15	10
2008-10-16	10,001
2008-10-17	10,002
2008-10-18	10,002
2008-10-19	10,002
2008-10-20	10,003
2008-10-21	10,005
2008-10-22	10,006
2008-10-23	10,006
2008-10-24	10,007
2008-10-25	10,007
2008-10-26	10,008
2008-10-27	10,009
2008-10-28	10,009
2008-10-29	10,01
2008-10-30	10,01
2008-10-31	10,011
2008-11-03	10,012
2008-11-04	10,015
2008-11-05	10,016
2008-11-06	10,017
2008-11-07	10,017
2008-11-10	10,018
2008-11-12	10,019
2008-11-13	10,022
2008-11-14	10,023
2008-11-17	10,025
2008-11-18	10,024
2008-11-19	10,025
2008-11-20	10,075
2008-11-21	10,076
2008-11-24	10,077
2008-11-25	10,077
2008-11-26	10,08
2008-11-27	10,091
2008-11-28	10,092
2008-12-01	10,099
2008-12-02	10,108
2008-12-03	10,111
2008-12-04	10,114
2008-12-05	10,117
2008-12-06	10,118
2008-12-07	10,118
2008-12-08	10,115
2008-12-09	10,115
2008-12-10	10,119
2008-12-11	10,123
2008-12-15	10,128
2008-12-16	10,13
2008-12-17	10,14
2008-12-18	10,143
2008-12-19	10,145
2008-12-22	10,148
2008-12-23	10,137
2008-12-30	10,156
2008-12-31	10,156
2009-01-02	10,159
2009-01-08	10,174
2009-01-09	10,179
2009-01-11	10,18
2009-01-13	10,181
2009-01-14	10,181
2009-01-15	10,177
2009-01-19	10,182
2009-01-20	10,182
2009-01-21	10,197
2009-01-23	10,197
2009-01-26	10,202
2009-01-27	10,209
2009-01-28	10,246
2009-01-29	10,249
2009-01-30	10,256
2009-02-02	10,251
2009-02-03	10,27
2009-02-04	10,278
2009-02-05	10,289
2009-02-06	10,302
2009-02-10	10,292
2009-02-11	10,321
2009-02-12	10,313
2009-02-16	10,339
2009-02-17	10,326
2009-02-18	10,325
2009-02-19	10,327
2009-02-20	10,31
2009-02-23	10,298
2009-02-24	10,303
2009-02-25	10,298
2009-02-26	10,298
2009-02-27	10,285
2009-03-02	10,265
2009-03-03	10,278
2009-03-04	10,307
2009-03-05	10,259
2009-03-06	10,241
2009-03-09	10,213
2009-03-10	10,272
