Date	Close
2008-07-13	10
2008-07-14	10,001
2008-07-15	10,002
2008-07-16	10,002
2008-07-17	10,003
2008-07-18	10,004
2008-07-19	10,005
2008-07-20	10,006
2008-07-21	10,007
2008-07-22	10,007
2008-07-23	10,008
2008-07-24	10,009
2008-07-25	10,01
2008-07-26	10,011
2008-07-27	10,012
2008-07-28	10,013
2008-07-29	10,013
2008-07-30	10,014
2008-07-31	10,015
2008-08-01	10,016
2008-08-02	10,017
2008-08-03	10,018
2008-08-04	10,018
2008-08-05	10,019
2008-08-06	10,02
2008-08-07	10,021
2008-08-08	10,022
2008-08-09	10,023
2008-08-10	10,024
2008-08-11	10,024
2008-08-12	10,025
2008-08-13	10,026
2008-08-14	10,027
2008-08-15	10,028
2008-08-16	10,029
2008-08-17	10,03
2008-08-18	10,03
2008-08-19	10,031
2008-08-20	10,032
2008-08-21	10,033
2008-08-22	10,034
2008-08-23	10,035
2008-08-24	10,035
2008-08-25	10,036
2008-08-26	10,037
2008-08-27	10,038
2008-08-28	10,039
2008-08-29	10,04
2008-08-30	10,041
2008-08-31	10,041
2008-09-01	10,042
2008-09-02	10,043
2008-09-03	10,044
2008-09-04	10,045
2008-09-05	10,046
2008-09-06	10,046
2008-09-07	10,047
2008-09-08	10,048
2008-09-09	10,049
2008-09-10	10,05
2008-09-11	10,051
2008-09-12	10,052
2008-09-13	10,053
2008-09-14	10,053
2008-09-15	10,054
2008-09-16	10,055
2008-09-17	10,056
2008-09-18	10,057
2008-09-19	10,058
2008-09-20	10,059
2008-09-21	10,059
2008-09-22	10,06
2008-09-23	10,061
2008-09-24	10,062
2008-09-25	10,063
2008-09-26	10,064
2008-09-27	10,064
2008-09-28	10,065
2008-09-29	10,066
2008-09-30	10,066
2008-10-01	10,066
2008-10-02	10,067
2008-10-03	10,068
2008-10-04	10,068
2008-10-05	10,069
2008-10-06	10,069
2008-10-07	10,07
2008-10-08	10,071
2008-10-09	10,071
2008-10-10	10,072
2008-10-11	10,073
2008-10-12	10,073
2008-10-13	10,074
2008-10-14	10,074
2008-10-15	10,075
2008-10-16	10,075
2008-10-17	10,076
2008-10-18	10,076
2008-10-19	10,077
2008-10-20	10,077
2008-10-21	10,078
2008-10-22	10,078
2008-10-23	10,079
2008-10-24	10,08
2008-10-25	10,08
2008-10-26	10,081
2008-10-27	10,081
2008-10-28	10,082
2008-10-29	10,083
2008-10-30	10,083
2008-10-31	10,084
2008-11-01	10,084
2008-11-02	10,085
2008-11-03	10,086
2008-11-04	10,086
2008-11-05	10,087
2008-11-06	10,087
2008-11-07	10,087
2008-11-08	10,088
2008-11-09	10,088
2008-11-10	10,088
2008-11-11	10,089
2008-11-12	10,089
2008-11-13	10,09
2008-11-14	10,09
2008-11-15	10,09
2008-11-16	10,09
2008-11-17	10,091
2008-11-18	10,091
2008-11-19	10,092
2008-11-20	10,092
2008-11-21	10,092
2008-11-22	10,092
2008-11-23	10,093
2008-11-24	10,093
2008-11-25	10,093
2008-11-26	10,093
2008-11-27	10,094
2008-11-28	10,094
2008-11-29	10,095
2008-11-30	10,095
2008-12-01	10,096
2008-12-02	10,096
2008-12-03	10,097
2008-12-04	10,097
2008-12-05	10,098
2008-12-06	10,098
2008-12-07	10,098
2008-12-08	10,098
2008-12-09	10,099
2008-12-10	10,099
2008-12-11	10,099
2008-12-12	10,1
2008-12-13	10,1
2008-12-14	10,1
