Date	Close
28/11/13	10
29/11/13	10
30/11/13	10
02/12/13	10
03/12/13	10
04/12/13	10
05/12/13	10
06/12/13	10
09/12/13	10
10/12/13	10
11/12/13	10
12/12/13	9,983
13/12/13	9,985
16/12/13	9,996
17/12/13	9,978
18/12/13	9,987
19/12/13	10,014
20/12/13	10,015
23/12/13	10,022
24/12/13	10,025
27/12/13	10,03
30/12/13	10,03
31/12/13	10,032
02/01/14	10,02
03/01/14	10,024
07/01/14	10,027
08/01/14	10,026
09/01/14	10,023
10/01/14	10,028
13/01/14	10,03
14/01/14	10,032
15/01/14	10,037
16/01/14	10,035
17/01/14	10,038
20/01/14	10,038
21/01/14	10,036
22/01/14	10,034
23/01/14	10,029
24/01/14	10,013
27/01/14	10,003
28/01/14	10,006
29/01/14	10
30/01/14	10,006
31/01/14	9,999
03/02/14	9,978
04/02/14	9,977
05/02/14	9,976
06/02/14	9,997
07/02/14	10,008
10/02/14	10,003
11/02/14	10,011
12/02/14	10,012
13/02/14	10,011
14/02/14	10,02
17/02/14	10,02
18/02/14	10,011
19/02/14	10,015
20/02/14	10,015
21/02/14	10,017
24/02/14	10,026
25/02/14	10,028
26/02/14	10,028
27/02/14	10,018
28/02/14	10,015
03/03/14	9,994
04/03/14	10,014
05/03/14	10,019
06/03/14	10,024
07/03/14	10,015
10/03/14	10,019
11/03/14	10,022
12/03/14	10,014
13/03/14	10,02
14/03/14	10,02
17/03/14	10,03
18/03/14	10,045
19/03/14	10,052
20/03/14	10,067
21/03/14	10,069
24/03/14	10,059
25/03/14	10,072
26/03/14	10,1
27/03/14	10,105
28/03/14	10,122
31/03/14	10,117
01/04/14	10,12
02/04/14	10,123
03/04/14	10,125
04/04/14	10,138
07/04/14	10,135
08/04/14	10,128
09/04/14	10,122
10/04/14	10,139
11/04/14	10,122
14/04/14	10,151
15/04/14	10,14
16/04/14	10,162
17/04/14	10,187
22/04/14	10,226
23/04/14	10,219
24/04/14	10,249
25/04/14	10,222
28/04/14	10,216
29/04/14	10,251
30/04/14	10,24
02/05/14	10,251
05/05/14	10,238
06/05/14	10,222
07/05/14	10,232
08/05/14	10,26
09/05/14	10,255
12/05/14	10,281
13/05/14	10,296
14/05/14	10,291
15/05/14	10,27
16/05/14	10,267
19/05/14	10,265
20/05/14	10,255
21/05/14	10,262
22/05/14	10,266
23/05/14	10,288
26/05/14	10,301
27/05/14	10,317
28/05/14	10,314
29/05/14	10,313
30/05/14	10,298
02/06/14	10,304
03/06/14	10,293
04/06/14	10,298
05/06/14	10,293
06/06/14	10,319
09/06/14	10,334
10/06/14	10,34
11/06/14	10,335
12/06/14	10,33
13/06/14	10,32
16/06/14	10,312
17/06/14	10,318
18/06/14	10,307
19/06/14	10,309
20/06/14	10,295
23/06/14	10,287
24/06/14	10,279
25/06/14	10,261
26/06/14	10,245
27/06/14	10,253
30/06/14	10,253
01/07/14	10,259
02/07/14	10,264
03/07/14	10,272
04/07/14	10,262
07/07/14	10,254
08/07/14	10,247
09/07/14	10,241
10/07/14	10,229
11/07/14	10,228
14/07/14	10,251
15/07/14	10,244
16/07/14	10,27
17/07/14	10,279
18/07/14	10,275
21/07/14	10,271
22/07/14	10,272
23/07/14	10,27
24/07/14	10,282
25/07/14	10,279
28/07/14	10,27
29/07/14	10,271
30/07/14	10,247
31/07/14	10,228
01/08/14	10,22
04/08/14	10,206
05/08/14	10,218
06/08/14	10,21
07/08/14	10,179
08/08/14	10,188
11/08/14	10,197
12/08/14	10,175
13/08/14	10,213
14/08/14	10,22
15/08/14	10,194
18/08/14	10,251
19/08/14	10,276
20/08/14	10,264
21/08/14	10,322
22/08/14	10,29
25/08/14	10,381
26/08/14	10,43
27/08/14	10,436
28/08/14	10,395
29/08/14	10,415
01/09/14	10,411
02/09/14	10,407
03/09/14	10,439
04/09/14	10,451
05/09/14	10,442
08/09/14	10,443
09/09/14	10,435
10/09/14	10,429
11/09/14	10,42
12/09/14	10,418
15/09/14	10,41
16/09/14	10,405
17/09/14	10,418
18/09/14	10,437
19/09/14	10,447
22/09/14	10,436
23/09/14	10,406
24/09/14	10,412
25/09/14	10,394
26/09/14	10,395
29/09/14	10,378
30/09/14	10,384
01/10/14	10,354
02/10/14	10,315
03/10/14	10,329
06/10/14	10,334
07/10/14	10,32
08/10/14	10,303
09/10/14	10,286
10/10/14	10,242
13/10/14	10,242
14/10/14	10,247
15/10/14	10,154
16/10/14	10,208
17/10/14	10,352
20/10/14	10,385
21/10/14	10,379
22/10/14	10,385
23/10/14	10,4
24/10/14	10,389
27/10/14	10,379
28/10/14	10,414
29/10/14	10,428
30/10/14	10,419
31/10/14	10,434
03/11/14	10,426
04/11/14	10,396
05/11/14	10,441
06/11/14	10,462
07/11/14	10,448
10/11/14	10,47
11/11/14	10,486
12/11/14	10,454
13/11/14	10,475
14/11/14	10,47
17/11/14	10,473
18/11/14	10,492
19/11/14	10,503
20/11/14	10,499
21/11/14	10,537
24/11/14	10,53
25/11/14	10,506
26/11/14	10,512
27/11/14	10,512
28/11/14	10,498
01/12/14	10,484
02/12/14	10,503
03/12/14	10,502
04/12/14	10,471
05/12/14	10,486
08/12/14	10,469
09/12/14	10,441
10/12/14	10,421
11/12/14	10,417
12/12/14	10,379
15/12/14	10,333
16/12/14	10,372
17/12/14	10,415
18/12/14	10,483
19/12/14	10,49
22/12/14	10,495
23/12/14	10,52
24/12/14	10,514
26/12/14	10,514
29/12/14	10,507
30/12/14	10,482
31/12/14	10,483
02/01/15	10,482
05/01/15	10,393
07/01/15	10,391
08/01/15	10,47
09/01/15	10,412
12/01/15	10,422
13/01/15	10,464
14/01/15	10,456
15/01/15	10,495
16/01/15	10,522
19/01/15	10,529
20/01/15	10,54
21/01/15	10,567
22/01/15	10,599
23/01/15	10,627
26/01/15	10,645
27/01/15	10,627
28/01/15	10,607
29/01/15	10,617
30/01/15	10,592
03/02/15	10,686
04/02/15	10,673
05/02/15	10,669
06/02/15	10,677
09/02/15	10,669
10/02/15	10,669
11/02/15	10,657
12/02/15	10,684
13/02/15	10,723
16/02/15	10,726
17/02/15	10,723
18/02/15	10,738
19/02/15	10,739
20/02/15	10,744
23/02/15	10,748
24/02/15	10,758
25/02/15	10,749
26/02/15	10,758
27/02/15	10,781
02/03/15	10,787
03/03/15	10,778
04/03/15	10,772
05/03/15	10,803
06/03/15	10,812
09/03/15	10,806
10/03/15	10,775
11/03/15	10,788
12/03/15	10,787
13/03/15	10,784
16/03/15	10,797
17/03/15	10,8
18/03/15	10,807
19/03/15	10,813
20/03/15	10,838
23/03/15	10,846
24/03/15	10,838
25/03/15	10,834
26/03/15	10,829
27/03/15	10,848
30/03/15	10,856
31/03/15	10,849
01/04/15	10,861
02/04/15	10,86
04/04/15	10,927
05/04/15	10,915
07/04/15	10,896
08/04/15	10,927
09/04/15	10,953
10/04/15	10,968
13/04/15	10,969
14/04/15	10,963
15/04/15	10,978
16/04/15	10,956
17/04/15	10,936
20/04/15	10,939
21/04/15	10,936
22/04/15	10,924
23/04/15	10,926
24/04/15	10,931
27/04/15	10,947
28/04/15	10,936
29/04/15	10,91
30/04/15	10,914
04/05/15	10,927
05/05/15	10,915
06/05/15	10,884
07/05/15	10,884
08/05/15	10,946
11/05/15	10,948
12/05/15	10,908
13/05/15	10,905
14/05/15	10,931
15/05/15	10,91
19/05/15	10,966
20/05/15	10,973
21/05/15	10,979
22/05/15	10,975
25/05/15	10,968
27/05/15	10,961
28/05/15	10,94
29/05/15	10,891
01/06/15	10,888
02/06/15	10,876
03/06/15	10,887
04/06/15	10,87
05/06/15	10,845
08/06/15	10,822
09/06/15	10,817
10/06/15	10,868
11/06/15	10,887
12/06/15	10,845
15/06/15	10,787
16/06/15	10,783
17/06/15	10,771
18/06/15	10,77
19/06/15	10,795
22/06/15	10,893
23/06/15	10,934
24/06/15	10,915
25/06/15	10,904
26/06/15	10,915
29/06/15	10,79
30/06/15	10,761
01/07/15	10,802
02/07/15	10,78
03/07/15	10,756
06/07/15	10,756
07/07/15	10,71
08/07/15	10,683
09/07/15	10,763
10/07/15	10,834
13/07/15	10,88
14/07/15	10,885
15/07/15	10,899
16/07/15	10,938
17/07/15	10,942
20/07/15	10,957
21/07/15	10,951
22/07/15	10,921
23/07/15	10,918
24/07/15	10,887
25/07/15	10,887
26/07/15	10,887
27/07/15	10,827
28/07/15	10,851
29/07/15	10,876
30/07/15	10,888
31/07/15	10,879
03/08/15	10,873
04/08/15	10,854
05/08/15	10,919
06/08/15	10,911
07/08/15	10,897
10/08/15	10,906
11/08/15	10,846
12/08/15	10,779
13/08/15	10,796
14/08/15	10,791
17/08/15	10,793
18/08/15	10,79
19/08/15	10,717
20/08/15	10,66
21/08/15	10,563
24/08/15	10,237
25/08/15	10,475
26/08/15	10,403
27/08/15	10,631
28/08/15	10,683
31/08/15	10,653
01/09/15	10,491
02/09/15	10,49
03/09/15	10,652
04/09/15	10,504
07/09/15	10,522
08/09/15	10,574
09/09/15	10,634
10/09/15	10,543
11/09/15	10,48
14/09/15	10,447
15/09/15	10,477
16/09/15	10,569
17/09/15	10,551
18/09/15	10,441
21/09/15	10,411
22/09/15	10,174
23/09/15	10,16
24/09/15	10,054
25/09/15	10,129
28/09/15	9,964
29/09/15	9,983
30/09/15	10,106
01/10/15	10,124
02/10/15	10,177
05/10/15	10,403
06/10/15	10,484
07/10/15	10,588
08/10/15	10,619
09/10/15	10,692
12/10/15	10,675
13/10/15	10,581
14/10/15	10,564
15/10/15	10,592
16/10/15	10,605
19/10/15	10,58
20/10/15	10,556
21/10/15	10,549
22/10/15	10,672
23/10/15	10,734
26/10/15	10,727
27/10/15	10,645
28/10/15	10,711
29/10/15	10,689
30/10/15	10,697
02/11/15	10,72
03/11/15	10,811
04/11/15	10,857
05/11/15	10,821
06/11/15	10,818
09/11/15	10,784
10/11/15	10,742
11/11/15	10,744
12/11/15	10,639
13/11/15	10,614
16/11/15	10,637
17/11/15	10,725
18/11/15	10,752
19/11/15	10,766
20/11/15	10,767
