Date	Close
2013-11-28	10
2013-11-29	10
2013-11-30	10
2013-12-02	10
2013-12-03	10
2013-12-04	10
2013-12-05	10
2013-12-06	10
2013-12-09	10
2013-12-10	10
2013-12-11	10
2013-12-12	9,983
2013-12-13	9,985
2013-12-16	9,996
2013-12-17	9,978
2013-12-18	9,987
2013-12-19	10,014
2013-12-20	10,015
2013-12-23	10,022
2013-12-24	10,025
2013-12-27	10,03
2013-12-30	10,03
2013-12-31	10,032
2014-01-02	10,02
2014-01-03	10,024
2014-01-07	10,027
2014-01-08	10,026
2014-01-09	10,023
2014-01-10	10,028
2014-01-13	10,03
2014-01-14	10,032
2014-01-15	10,037
2014-01-16	10,035
2014-01-17	10,038
2014-01-20	10,038
2014-01-21	10,036
2014-01-22	10,034
2014-01-23	10,029
2014-01-24	10,013
2014-01-27	10,003
2014-01-28	10,006
2014-01-29	10
2014-01-30	10,006
2014-01-31	9,999
2014-02-03	9,978
2014-02-04	9,977
2014-02-05	9,976
2014-02-06	9,997
2014-02-07	10,008
2014-02-10	10,003
2014-02-11	10,011
2014-02-12	10,012
2014-02-13	10,011
2014-02-14	10,02
2014-02-17	10,02
2014-02-18	10,011
2014-02-19	10,015
2014-02-20	10,015
2014-02-21	10,017
2014-02-24	10,026
2014-02-25	10,028
2014-02-26	10,028
2014-02-27	10,018
2014-02-28	10,015
2014-03-03	9,994
2014-03-04	10,014
2014-03-05	10,019
2014-03-06	10,024
2014-03-07	10,015
2014-03-10	10,019
2014-03-11	10,022
2014-03-12	10,014
2014-03-13	10,02
2014-03-14	10,02
2014-03-17	10,03
2014-03-18	10,045
2014-03-19	10,052
2014-03-20	10,067
2014-03-21	10,069
2014-03-24	10,059
2014-03-25	10,072
2014-03-26	10,1
2014-03-27	10,105
2014-03-28	10,122
2014-03-31	10,117
2014-04-01	10,12
2014-04-02	10,123
2014-04-03	10,125
2014-04-04	10,138
2014-04-07	10,135
2014-04-08	10,128
2014-04-09	10,122
2014-04-10	10,139
2014-04-11	10,122
2014-04-14	10,151
2014-04-15	10,14
2014-04-16	10,162
2014-04-17	10,187
2014-04-22	10,226
2014-04-23	10,219
2014-04-24	10,249
2014-04-25	10,222
2014-04-28	10,216
2014-04-29	10,251
2014-04-30	10,24
2014-05-02	10,251
2014-05-05	10,238
2014-05-06	10,222
2014-05-07	10,232
2014-05-08	10,26
2014-05-09	10,255
2014-05-12	10,281
2014-05-13	10,296
2014-05-14	10,291
2014-05-15	10,27
2014-05-16	10,267
2014-05-19	10,265
2014-05-20	10,255
2014-05-21	10,262
2014-05-22	10,266
2014-05-23	10,288
2014-05-26	10,301
2014-05-27	10,317
2014-05-28	10,314
2014-05-29	10,313
2014-05-30	10,298
2014-06-02	10,304
2014-06-03	10,293
2014-06-04	10,298
2014-06-05	10,293
2014-06-06	10,319
2014-06-09	10,334
2014-06-10	10,34
2014-06-11	10,335
2014-06-12	10,33
2014-06-13	10,32
2014-06-16	10,312
2014-06-17	10,318
2014-06-18	10,307
2014-06-19	10,309
2014-06-20	10,295
2014-06-23	10,287
2014-06-24	10,279
2014-06-25	10,261
2014-06-26	10,245
2014-06-27	10,253
2014-06-30	10,253
2014-07-01	10,259
2014-07-02	10,264
2014-07-03	10,272
2014-07-04	10,262
2014-07-07	10,254
2014-07-08	10,247
2014-07-09	10,241
2014-07-10	10,229
2014-07-11	10,228
2014-07-14	10,251
2014-07-15	10,244
2014-07-16	10,27
2014-07-17	10,279
2014-07-18	10,275
2014-07-21	10,271
2014-07-22	10,272
2014-07-23	10,27
2014-07-24	10,282
2014-07-25	10,279
2014-07-28	10,27
2014-07-29	10,271
2014-07-30	10,247
2014-07-31	10,228
2014-08-01	10,22
2014-08-04	10,206
2014-08-05	10,218
2014-08-06	10,21
2014-08-07	10,179
2014-08-08	10,188
2014-08-11	10,197
2014-08-12	10,175
2014-08-13	10,213
2014-08-14	10,22
2014-08-15	10,194
2014-08-18	10,251
2014-08-19	10,276
2014-08-20	10,264
2014-08-21	10,322
2014-08-22	10,29
2014-08-25	10,381
2014-08-26	10,43
2014-08-27	10,436
2014-08-28	10,395
2014-08-29	10,415
2014-09-01	10,411
2014-09-02	10,407
2014-09-03	10,439
2014-09-04	10,451
2014-09-05	10,442
2014-09-08	10,443
2014-09-09	10,435
2014-09-10	10,429
2014-09-11	10,42
2014-09-12	10,418
2014-09-15	10,41
2014-09-16	10,405
2014-09-17	10,418
2014-09-18	10,437
2014-09-19	10,447
2014-09-22	10,436
2014-09-23	10,406
2014-09-24	10,412
2014-09-25	10,394
2014-09-26	10,395
2014-09-29	10,378
2014-09-30	10,384
2014-10-01	10,354
2014-10-02	10,315
2014-10-03	10,329
2014-10-06	10,334
2014-10-07	10,32
2014-10-08	10,303
