Date	Close
2013-12-20	10
2013-12-23	10
2013-12-24	10
2013-12-26	10
2013-12-27	10
2013-12-30	10
2013-12-31	10
2014-01-02	10
2014-01-03	10
2014-01-07	10
2014-01-08	10,005
2014-01-09	9,915
2014-01-10	10,024
2014-01-13	9,92
2014-01-14	10,03
2014-01-15	10,025
2014-01-16	10,068
2014-01-17	9,995
2014-01-20	9,98
2014-01-21	10,107
2014-01-22	10,227
2014-01-23	10,201
2014-01-24	10,006
2014-01-27	9,883
2014-01-28	9,961
2014-01-29	9,91
2014-01-30	9,933
2014-01-31	9,923
2014-02-03	9,705
2014-02-04	9,791
2014-02-05	9,773
2014-02-06	9,899
2014-02-07	10,008
2014-02-08	10,072
2014-02-10	10,072
2014-02-11	10,085
2014-02-12	10,128
2014-02-13	10,16
2014-02-14	10,17
2014-02-17	10,187
2014-02-18	10,302
2014-02-19	10,311
2014-02-20	10,4
2014-02-21	10,349
2014-02-24	10,311
2014-02-25	10,311
2014-02-26	10,346
2014-02-27	10,35
2014-02-28	10,334
2014-03-03	10,322
2014-03-04	10,487
2014-03-05	10,453
2014-03-06	10,464
2014-03-07	10,468
2014-03-10	10,428
2014-03-11	10,298
2014-03-12	10,266
2014-03-13	10,167
2014-03-14	10,203
2014-03-17	10,218
2014-03-18	10,341
2014-03-19	10,225
2014-03-20	10,221
2014-03-21	10,171
2014-03-24	10,098
2014-03-25	10,143
2014-03-26	10,122
2014-03-27	10,092
2014-03-28	10,113
2014-03-31	10,21
2014-04-01	10,253
2014-04-02	10,267
2014-04-03	10,229
2014-04-04	10,162
2014-04-07	10,075
2014-04-08	10,066
2014-04-09	10,159
2014-04-10	10,094
2014-04-11	9,985
2014-04-14	9,959
2014-04-15	9,953
2014-04-16	10,049
2014-04-17	10,122
2014-04-21	10,184
2014-04-22	10,272
2014-04-23	10,263
2014-04-24	10,267
2014-04-25	10,122
2014-04-28	10,032
2014-04-29	10,027
2014-04-30	10,14
2014-05-01	10,134
2014-05-02	10,177
2014-05-05	10,177
2014-05-06	10,083
2014-05-07	10,067
2014-05-08	10,004
2014-05-09	9,989
2014-05-12	10,107
2014-05-13	10,151
2014-05-14	10,145
2014-05-15	10,038
2014-05-16	10,031
2014-05-19	10,075
2014-05-20	10,077
2014-05-21	10,135
2014-05-22	10,18
2014-05-23	10,226
2014-05-26	10,225
2014-05-27	10,309
2014-05-28	10,378
2014-05-29	10,389
2014-05-30	10,398
2014-05-31	10,397
