Date	Close
2010-04-06	10
2010-04-07	10
2010-04-08	9,999
2010-04-09	9,998
2010-04-10	9,997
2010-04-11	9,997
2010-04-12	9,996
2010-04-13	9,995
2010-04-14	9,994
2010-04-15	9,994
2010-04-16	9,993
2010-04-17	9,992
2010-04-18	9,991
2010-04-19	9,99
2010-04-20	9,99
2010-04-21	9,989
2010-04-22	9,988
2010-04-23	9,987
2010-04-24	9,987
2010-04-25	9,986
2010-04-26	9,985
2010-04-27	9,984
2010-04-28	9,983
2010-04-29	9,983
2010-04-30	9,982
2010-05-01	9,981
2010-05-02	9,98
2010-05-03	9,98
2010-05-04	9,982
2010-05-05	9,951
2010-05-06	9,924
2010-05-07	9,918
2010-05-08	9,918
2010-05-09	9,917
2010-05-10	9,979
2010-05-11	9,975
2010-05-12	9,974
2010-05-13	9,959
2010-05-14	9,941
2010-05-15	9,941
2010-05-16	9,94
2010-05-17	9,937
2010-05-18	9,933
2010-05-19	9,921
2010-05-20	9,922
2010-05-21	9,922
2010-05-22	9,922
2010-05-23	9,921
2010-05-24	9,92
2010-05-25	9,917
2010-05-26	9,927
2010-05-27	9,921
2010-05-28	9,92
2010-05-29	9,919
2010-05-30	9,919
2010-05-31	9,921
2010-06-01	9,928
2010-06-02	9,932
2010-06-03	9,935
2010-06-04	9,934
2010-06-05	9,934
2010-06-06	9,934
2010-06-07	9,931
2010-06-08	9,927
2010-06-09	9,926
2010-06-10	9,93
2010-06-11	9,939
2010-06-12	9,938
2010-06-13	9,938
2010-06-14	9,935
2010-06-15	9,946
2010-06-16	9,943
2010-06-17	9,944
2010-06-18	9,948
2010-06-19	9,949
2010-06-20	9,949
2010-06-21	9,958
2010-06-22	9,952
2010-06-23	9,954
2010-06-24	9,96
2010-06-25	9,954
2010-06-26	9,954
2010-06-27	9,954
2010-06-28	9,95
2010-06-29	9,945
2010-06-30	9,951
2010-07-01	9,954
2010-07-02	9,964
2010-07-03	9,964
2010-07-04	9,965
2010-07-05	9,97
2010-07-06	9,983
2010-07-07	9,996
2010-07-08	10,004
2010-07-09	10,008
2010-07-12	10,011
2010-07-13	10,02
2010-07-14	10,025
2010-07-15	10,034
2010-07-16	10,042
2010-07-19	10,046
2010-07-20	10,049
2010-07-21	10,057
2010-07-22	10,073
2010-07-23	10,086
2010-07-26	10,112
2010-07-27	10,123
2010-07-28	10,129
2010-07-29	10,146
2010-07-30	10,142
2010-08-02	10,157
2010-08-03	10,154
2010-08-04	10,168
2010-08-05	10,181
2010-08-06	10,181
2010-08-09	10,181
2010-08-10	10,178
2010-08-11	10,17
2010-08-12	10,164
2010-08-13	10,163
2010-08-16	10,176
2010-08-17	10,189
2010-08-18	10,198
2010-08-19	10,204
2010-08-20	10,211
2010-08-23	10,216
2010-08-24	10,217
2010-08-25	10,211
2010-08-26	10,211
2010-08-27	10,207
2010-08-30	10,211
2010-08-31	10,213
2010-09-01	10,215
2010-09-02	10,228
2010-09-03	10,253
2010-09-06	10,254
2010-09-07	10,246
2010-09-08	10,249
2010-09-09	10,257
2010-09-10	10,266
2010-09-13	10,273
2010-09-14	10,273
2010-09-15	10,278
2010-09-16	10,286
2010-09-17	10,289
2010-09-20	10,296
2010-09-21	10,294
2010-09-22	10,294
2010-09-23	10,304
2010-09-24	10,297
2010-09-27	10,301
2010-09-28	10,301
2010-09-29	10,298
2010-09-30	10,305
2010-10-01	10,314
2010-10-04	10,319
2010-10-05	10,313
2010-10-06	10,339
2010-10-07	10,339
2010-10-08	10,346
2010-10-11	10,359
2010-10-12	10,363
2010-10-13	10,372
2010-10-14	10,379
2010-10-15	10,384
2010-10-18	10,377
2010-10-19	10,387
2010-10-20	10,382
2010-10-21	10,387
2010-10-22	10,394
2010-10-25	10,405
2010-10-26	10,412
2010-10-27	10,415
2010-10-28	10,406
2010-10-29	10,408
2010-11-01	10,413
2010-11-02	10,412
2010-11-03	10,415
2010-11-04	10,422
2010-11-05	10,421
2010-11-08	10,412
2010-11-09	10,405
2010-11-10	10,406
2010-11-11	10,407
2010-11-12	10,395
2010-11-15	10,399
2010-11-16	10,399
2010-11-17	10,415
2010-11-18	10,419
2010-11-19	10,415
2010-11-22	10,413
2010-11-23	10,413
2010-11-24	10,406
2010-11-25	10,39
2010-11-26	10,349
2010-11-29	10,318
2010-11-30	10,318
2010-12-01	10,27
2010-12-02	10,294
2010-12-03	10,34
2010-12-06	10,348
2010-12-07	10,352
2010-12-08	10,339
2010-12-09	10,336
2010-12-10	10,314
2010-12-13	10,308
2010-12-14	10,313
2010-12-15	10,307
2010-12-16	10,323
2010-12-17	10,324
2010-12-20	10,334
2010-12-21	10,328
2010-12-22	10,324
2010-12-23	10,326
2010-12-24	10,327
2010-12-27	10,34
2010-12-28	10,346
2010-12-29	10,353
2010-12-30	10,356
2010-12-31	10,312
2011-01-03	10,323
2011-01-04	10,339
2011-01-05	10,342
2011-01-06	10,337
2011-01-07	10,317
2011-01-10	10,305
2011-01-11	10,318
2011-01-12	10,335
2011-01-13	10,366
2011-01-14	10,37
2011-01-17	10,375
2011-01-18	10,373
2011-01-19	10,366
2011-01-20	10,383
2011-01-21	10,401
2011-01-24	10,423
2011-01-25	10,436
2011-01-26	10,433
2011-01-27	10,427
2011-01-28	10,432
2011-01-31	10,431
2011-02-01	10,482
2011-02-02	10,504
