ID1,ID2,ID,ID3,Nombres,Tickers,Ficheros_xlsx,Ficheros_csv
ACC,V,Y,X,iberdrola,IBE.MC,iberdrola.xlsx,iberdrola.csv
ACC,V,Y,X,renta_4,R4.MC,renta4.xlsx,renta4.csv
Y,X,Y,IND,Ibex_35,^IBEX,Ibex35.xlsx,Ibex35.csv
Y,X,Y,IND,Eurostoxx_50,^STOXX50E,Eurostoxx50.xlsx,Eurostoxx50.csv
Y,X,Y,IND,SP_500,^GSPC,sp500.xlsx,sp500.csv
Y,X,Y,IND,dow_jons,^DJI,dowjons.xlsx,dowjons.csv
Y,X,Y,IND,nasdaq,^IXIC,nasdaq.xlsx,nasdaq.csv
Y,X,Y,IND,nikkei_225,^N225,nikkei225.xlsx,nikkei225.csv
FI,V,R4,X,Acatis,DE000A0X7541,Acatis.xlsx,Acatis.csv
FI,V,R4,X,TrueValue,ES0180792006,TrueValue.xlsx,TrueValue.csv
FI,V,R4,X,ValorRelativo,ES0128522002,ValorRelativo.xlsx,ValorRelativo.csv
PP,V,R4,X,NexusPP,F1605,NexusPP.xlsx,NexusPP.csv
PP,V,R4,X,DedaloPP,F1467,DedaloPP.xlsx,DedaloPP.csv
PP,V,R4,X,EPSV,EPSV-EP2,EPSV.xlsx,EPSV.csv
