Date,Close,fear_metric,rating,,,
2014-04-09,100.49,31.0,fear,,,
2014-04-10,98.95,31.0,fear,,,
2014-04-11,97.85,21.0,extreme_fear,,,
2014-04-14,98.73,23.0,extreme_fear,,,
2014-04-15,98.81,23.0,extreme_fear,,,
2014-04-16,100.03,28.0,fear,,,
2014-04-17,100.12,28.0,fear,,,
2014-04-22,101.14,40.0,fear,,,
2014-04-23,100.76,40.0,fear,,,
2014-04-24,100.94,39.0,fear,,,
2014-04-25,100.21,35.0,fear,,,
2014-04-28,100.28,34.0,fear,,,
2014-04-29,101.07,34.0,fear,,,º
2014-04-30,101.06,33.0,fear,,,
2014-05-02,101.16,32.0,fear,,,
2014-05-05,101.13,34.0,fear,,,
2014-05-06,100.37,34.0,fear,,,
2014-05-07,100.48,33.0,fear,,,
2014-05-08,101.13,33.0,fear,,,
2014-05-09,101.73,42.0,fear,,,
2014-05-12,102.47,45.0,fear,,,
2014-05-13,103.05,39.0,fear,,,
2014-05-14,102.88,38.0,fear,,,
2014-05-15,102.08,28.0,fear,,,
2014-05-16,102.26,28.0,fear,,,
2014-05-19,102.3,26.0,fear,,,
2014-05-20,102.01,21.0,extreme_fear,,,
2014-05-21,102.78,29.0,fear,,,
2014-05-22,103.22,36.0,fear,,,
2014-05-23,103.74,37.0,fear,,,
2014-05-27,104.47,40.0,fear,,,
2014-05-28,104.52,42.0,fear,,,
2014-05-30,104.7,45.0,fear,,,
2014-06-02,105.13,58.0,greed,,,
2014-06-03,104.94,66.0,greed,,,
2014-06-04,105.06,66.0,greed,,,
2014-06-05,105.6,81.0,extreme_greed,,,
2014-06-06,105.96,81.0,extreme_greed,,,
2014-06-10,106.75,90.0,extreme_greed,,,
2014-06-11,106.62,88.0,extreme_greed,,,
2014-06-12,106.13,83.0,extreme_greed,,,
2014-06-13,106.42,85.0,extreme_greed,,,
2014-06-16,106.06,87.0,extreme_greed,,,
2014-06-17,106.37,88.0,extreme_greed,,,
2014-06-18,106.7,94.0,extreme_greed,,,
2014-06-19,106.89,95.0,extreme_greed,,,
2014-06-20,107.27,95.0,extreme_greed,,,
2014-06-24,106.53,83.0,extreme_greed,,,
2014-06-25,106.28,83.0,extreme_greed,,,
2014-06-26,106.59,77.0,extreme_greed,,,
2014-06-27,106.42,76.0,extreme_greed,,,
2014-06-30,106.19,87.0,extreme_greed,,,
2014-07-01,106.97,87.0,extreme_greed,,,
2014-07-02,107.31,87.0,extreme_greed,,,
2014-07-03,108.11,86.0,extreme_greed,,,
2014-07-07,107.67,68.0,greed,,,
