Date;Close
09/01/2015;10
10/01/2015;10
11/01/2015;9,999
12/01/2015;9,999
13/01/2015;9,999
14/01/2015;9,999
15/01/2015;9,998
16/01/2015;9,998
19/01/2015;9,997
20/01/2015;9,996
21/01/2015;9,996
22/01/2015;9,996
23/01/2015;9,995
26/01/2015;9,994
27/01/2015;9,994
28/01/2015;9,98
29/01/2015;9,975
30/01/2015;9,932
02/02/2015;9,936
03/02/2015;9,968
04/02/2015;10
05/02/2015;10,005
06/02/2015;10,011
09/02/2015;9,986
10/02/2015;10,018
11/02/2015;9,989
12/02/2015;10,074
13/02/2015;10,154
16/02/2015;10,16
17/02/2015;10,131
18/02/2015;10,186
19/02/2015;10,196
20/02/2015;10,198
23/02/2015;10,236
24/02/2015;10,263
25/02/2015;10,258
26/02/2015;10,304
27/02/2015;10,311
02/03/2015;10,317
03/03/2015;10,263
04/03/2015;10,292
05/03/2015;10,328
06/03/2015;10,342
09/03/2015;10,336
10/03/2015;10,282
11/03/2015;10,362
12/03/2015;10,362
13/03/2015;10,372
16/03/2015;10,408
17/03/2015;10,369
18/03/2015;10,368
19/03/2015;10,381
20/03/2015;10,432
23/03/2015;10,417
24/03/2015;10,459
25/03/2015;10,408
26/03/2015;10,377
27/03/2015;10,378
30/03/2015;10,429
31/03/2015;10,393
01/04/2015;10,409
02/04/2015;10,406
03/04/2015;10,405
04/04/2015;10,405
05/04/2015;10,404
06/04/2015;10,404
07/04/2015;10,466
08/04/2015;10,469
09/04/2015;10,544
10/04/2015;10,587
11/04/2015;10,586
12/04/2015;10,586
13/04/2015;10,603
14/04/2015;10,566
15/04/2015;10,583
16/04/2015;10,533
17/04/2015;10,43
18/04/2015;10,43
19/04/2015;10,429
20/04/2015;10,471
21/04/2015;10,493
22/04/2015;10,474
23/04/2015;10,456
24/04/2015;10,474
25/04/2015;10,473
26/04/2015;10,473
27/04/2015;10,521
28/04/2015;10,486
29/04/2015;10,395
30/04/2015;10,377
01/05/2015;10,377
02/05/2015;10,376
03/05/2015;10,376
04/05/2015;10,4
05/05/2015;10,3
06/05/2015;10,28
07/05/2015;10,283
08/05/2015;10,383
11/05/2015;10,394
12/05/2015;10,34
13/05/2015;10,331
15/05/2015;10,37
18/05/2015;10,394
19/05/2015;10,445
20/05/2015;10,455
21/05/2015;10,468
22/05/2015;10,462
25/05/2015;10,431
26/05/2015;10,391
27/05/2015;10,457
28/05/2015;10,444
29/05/2015;10,361
01/06/2015;10,355
02/06/2015;10,337
03/06/2015;10,319
04/06/2015;10,277
05/06/2015;10,223
08/06/2015;10,158
09/06/2015;10,147
10/06/2015;10,23
11/06/2015;10,26
12/06/2015;10,208
15/06/2015;10,114
16/06/2015;10,14
17/06/2015;10,109
18/06/2015;10,145
19/06/2015;10,156
22/06/2015;10,305
23/06/2015;10,353
24/06/2015;10,323
25/06/2015;10,335
26/06/2015;10,33
29/06/2015;10,169
30/06/2015;10,127
01/07/2015;10,226
02/07/2015;10,2
03/07/2015;10,185
06/07/2015;10,136
07/07/2015;10,047
08/07/2015;10,049
09/07/2015;10,148
10/07/2015;10,227
