Date;Close
31/07/2014;10
01/08/2014;10
02/08/2014;10
03/08/2014;10
04/08/2014;10
05/08/2014;10
06/08/2014;10
07/08/2014;10
08/08/2014;10
11/08/2014;10
12/08/2014;10
13/08/2014;10
14/08/2014;10,001
15/08/2014;10,006
18/08/2014;10,002
19/08/2014;10,005
20/08/2014;10,127
21/08/2014;10,153
22/08/2014;10,153
25/08/2014;10,174
26/08/2014;10,195
27/08/2014;10,33
28/08/2014;10,302
29/08/2014;10,289
01/09/2014;10,309
02/09/2014;10,288
03/09/2014;10,383
04/09/2014;10,44
05/09/2014;10,472
08/09/2014;10,453
09/09/2014;10,392
10/09/2014;10,348
11/09/2014;10,368
12/09/2014;10,348
15/09/2014;10,294
16/09/2014;10,266
17/09/2014;10,282
18/09/2014;10,323
19/09/2014;10,316
22/09/2014;10,287
23/09/2014;10,207
24/09/2014;10,217
25/09/2014;10,143
26/09/2014;10,179
29/09/2014;10,145
30/09/2014;10,161
01/10/2014;10,114
02/10/2014;10,014
03/10/2014;10,107
06/10/2014;10,087
07/10/2014;9,963
08/10/2014;9,955
09/10/2014;9,882
10/10/2014;9,793
13/10/2014;9,767
14/10/2014;9,781
15/10/2014;9,616
16/10/2014;9,55
17/10/2014;9,677
20/10/2014;9,64
21/10/2014;9,695
22/10/2014;9,766
23/10/2014;9,79
24/10/2014;9,793
27/10/2014;9,744
28/10/2014;9,832
29/10/2014;9,892
30/10/2014;9,921
31/10/2014;10,024
03/11/2014;10,015
04/11/2014;9,985
05/11/2014;10,031
06/11/2014;10,057
07/11/2014;10,015
10/11/2014;10,079
11/11/2014;10,076
12/11/2014;10,023
13/11/2014;10,039
14/11/2014;10,039
17/11/2014;10,059
18/11/2014;10,095
19/11/2014;10,117
20/11/2014;10,1
21/11/2014;10,205
24/11/2014;10,24
25/11/2014;10,269
26/11/2014;10,253
27/11/2014;10,293
28/11/2014;10,261
01/12/2014;10,231
02/12/2014;10,248
03/12/2014;10,292
04/12/2014;10,292
05/12/2014;10,34
08/12/2014;10,308
09/12/2014;10,192
10/12/2014;10,11
11/12/2014;10,095
12/12/2014;9,987
15/12/2014;9,87
16/12/2014;9,933
17/12/2014;9,933
18/12/2014;10,113
19/12/2014;10,142
22/12/2014;10,175
24/12/2014;10,224
29/12/2014;10,214
30/12/2014;10,233
31/12/2014;10,253
02/01/2015;10,278
06/01/2015;10,114
07/01/2015;10,163
08/01/2015;10,234
09/01/2015;10,252
12/01/2015;10,207
13/01/2015;10,292
14/01/2015;10,248
15/01/2015;10,35
16/01/2015;10,366
19/01/2015;10,421
20/01/2015;10,473
21/01/2015;10,505
22/01/2015;10,628
23/01/2015;10,703
26/01/2015;10,729
27/01/2015;10,684
28/01/2015;10,677
29/01/2015;10,695
30/01/2015;10,636
02/02/2015;10,613
03/02/2015;10,688
04/02/2015;10,747
05/02/2015;10,741
06/02/2015;10,769
09/02/2015;10,703
10/02/2015;10,79
11/02/2015;10,753
12/02/2015;10,81
13/02/2015;10,882
16/02/2015;10,877
17/02/2015;10,876
18/02/2015;10,912
19/02/2015;10,98
20/02/2015;11,004
23/02/2015;11,047
24/02/2015;11,087
25/02/2015;11,062
26/02/2015;11,12
27/02/2015;11,113
02/03/2015;11,1
03/03/2015;11,028
04/03/2015;11,063
05/03/2015;11,17
06/03/2015;11,241
09/03/2015;11,214
10/03/2015;11,159
11/03/2015;11,255
12/03/2015;11,276
13/03/2015;11,324
16/03/2015;11,365
17/03/2015;11,301
18/03/2015;11,275
19/03/2015;11,308
20/03/2015;11,368
23/03/2015;11,365
24/03/2015;11,392
25/03/2015;11,315
26/03/2015;11,264
27/03/2015;11,309
30/03/2015;11,395
31/03/2015;11,373
01/04/2015;11,376
02/04/2015;11,408
07/04/2015;11,465
08/04/2015;11,503
09/04/2015;11,608
10/04/2015;11,643
13/04/2015;11,663
14/04/2015;11,613
15/04/2015;11,651
16/04/2015;11,578
17/04/2015;11,426
20/04/2015;11,449
21/04/2015;11,493
22/04/2015;11,457
23/04/2015;11,416
24/04/2015;11,382
27/04/2015;11,44
28/04/2015;11,39
29/04/2015;11,261
30/04/2015;11,175
04/05/2015;11,264
05/05/2015;11,193
06/05/2015;11,139
07/05/2015;11,175
08/05/2015;11,285
11/05/2015;11,334
12/05/2015;11,278
13/05/2015;11,272
15/05/2015;11,295
18/05/2015;11,348
19/05/2015;11,451
20/05/2015;11,441
21/05/2015;11,443
22/05/2015;11,449
25/05/2015;11,389
26/05/2015;11,34
27/05/2015;11,418
28/05/2015;11,416
29/05/2015;11,333
01/06/2015;11,39
02/06/2015;11,334
03/06/2015;11,369
04/06/2015;11,319
05/06/2015;11,262
08/06/2015;11,139
09/06/2015;11,151
10/06/2015;11,261
11/06/2015;11,324
12/06/2015;11,227
15/06/2015;11,14
16/06/2015;11,205
17/06/2015;11,146
18/06/2015;11,191
19/06/2015;11,218
22/06/2015;11,371
23/06/2015;11,465
24/06/2015;11,41
25/06/2015;11,41
26/06/2015;11,457
29/06/2015;11,235
30/06/2015;11,202
01/07/2015;11,354
02/07/2015;11,358
03/07/2015;11,299
06/07/2015;11,227
08/07/2015;11,166
09/07/2015;11,321
10/07/2015;11,462
13/07/2015;11,604
14/07/2015;11,588
15/07/2015;11,613
16/07/2015;11,693
17/07/2015;11,692
20/07/2015;11,726
21/07/2015;11,655
22/07/2015;11,637
23/07/2015;11,61
24/07/2015;11,57
27/07/2015;11,473
28/07/2015;11,514
29/07/2015;11,53
