Date	Close
29/09/08	10
30/09/08	10
01/10/08	10
02/10/08	10
03/10/08	10
04/10/08	10
05/10/08	10
06/10/08	10
07/10/08	10
08/10/08	10
09/10/08	10
10/10/08	10
11/10/08	10
12/10/08	10
13/10/08	10
14/10/08	10
15/10/08	10
16/10/08	10,001
17/10/08	10,002
18/10/08	10,002
19/10/08	10,002
20/10/08	10,003
21/10/08	10,005
22/10/08	10,006
23/10/08	10,006
24/10/08	10,007
25/10/08	10,007
26/10/08	10,008
27/10/08	10,009
28/10/08	10,009
29/10/08	10,01
30/10/08	10,01
31/10/08	10,011
03/11/08	10,012
04/11/08	10,015
05/11/08	10,016
06/11/08	10,017
07/11/08	10,017
10/11/08	10,018
12/11/08	10,019
13/11/08	10,022
14/11/08	10,023
17/11/08	10,025
18/11/08	10,024
19/11/08	10,025
20/11/08	10,075
21/11/08	10,076
24/11/08	10,077
25/11/08	10,077
26/11/08	10,08
27/11/08	10,091
28/11/08	10,092
01/12/08	10,099
02/12/08	10,108
03/12/08	10,111
04/12/08	10,114
05/12/08	10,117
06/12/08	10,118
07/12/08	10,118
08/12/08	10,115
09/12/08	10,115
10/12/08	10,119
11/12/08	10,123
15/12/08	10,128
16/12/08	10,13
17/12/08	10,14
18/12/08	10,143
19/12/08	10,145
22/12/08	10,148
23/12/08	10,137
30/12/08	10,156
31/12/08	10,156
02/01/09	10,159
08/01/09	10,174
09/01/09	10,179
11/01/09	10,18
13/01/09	10,181
14/01/09	10,181
15/01/09	10,177
19/01/09	10,182
20/01/09	10,182
21/01/09	10,197
23/01/09	10,197
26/01/09	10,202
27/01/09	10,209
28/01/09	10,246
29/01/09	10,249
30/01/09	10,256
02/02/09	10,251
03/02/09	10,27
04/02/09	10,278
05/02/09	10,289
06/02/09	10,302
10/02/09	10,292
11/02/09	10,321
12/02/09	10,313
16/02/09	10,339
17/02/09	10,326
18/02/09	10,325
19/02/09	10,327
20/02/09	10,31
23/02/09	10,298
24/02/09	10,303
25/02/09	10,298
26/02/09	10,298
27/02/09	10,285
02/03/09	10,265
03/03/09	10,278
04/03/09	10,307
05/03/09	10,259
06/03/09	10,241
09/03/09	10,213
10/03/09	10,272
11/03/09	10,273
12/03/09	10,314
13/03/09	10,319
16/03/09	10,332
17/03/09	10,341
18/03/09	10,324
20/03/09	10,328
23/03/09	10,341
24/03/09	10,35
25/03/09	10,354
26/03/09	10,35
27/03/09	10,369
