Date	Close
13/07/08	10
14/07/08	10,001
15/07/08	10,002
16/07/08	10,002
17/07/08	10,003
18/07/08	10,004
19/07/08	10,005
20/07/08	10,006
21/07/08	10,007
22/07/08	10,007
23/07/08	10,008
24/07/08	10,009
25/07/08	10,01
26/07/08	10,011
27/07/08	10,012
28/07/08	10,013
29/07/08	10,013
30/07/08	10,014
31/07/08	10,015
01/08/08	10,016
02/08/08	10,017
03/08/08	10,018
04/08/08	10,018
05/08/08	10,019
06/08/08	10,02
07/08/08	10,021
08/08/08	10,022
09/08/08	10,023
10/08/08	10,024
11/08/08	10,024
12/08/08	10,025
13/08/08	10,026
14/08/08	10,027
15/08/08	10,028
16/08/08	10,029
17/08/08	10,03
18/08/08	10,03
19/08/08	10,031
20/08/08	10,032
21/08/08	10,033
22/08/08	10,034
23/08/08	10,035
24/08/08	10,035
25/08/08	10,036
26/08/08	10,037
27/08/08	10,038
28/08/08	10,039
29/08/08	10,04
30/08/08	10,041
31/08/08	10,041
01/09/08	10,042
02/09/08	10,043
03/09/08	10,044
04/09/08	10,045
05/09/08	10,046
06/09/08	10,046
07/09/08	10,047
08/09/08	10,048
09/09/08	10,049
10/09/08	10,05
11/09/08	10,051
12/09/08	10,052
13/09/08	10,053
14/09/08	10,053
15/09/08	10,054
16/09/08	10,055
17/09/08	10,056
18/09/08	10,057
19/09/08	10,058
20/09/08	10,059
21/09/08	10,059
22/09/08	10,06
23/09/08	10,061
24/09/08	10,062
25/09/08	10,063
26/09/08	10,064
27/09/08	10,064
28/09/08	10,065
29/09/08	10,066
30/09/08	10,066
01/10/08	10,066
02/10/08	10,067
03/10/08	10,068
04/10/08	10,068
05/10/08	10,069
06/10/08	10,069
07/10/08	10,07
08/10/08	10,071
09/10/08	10,071
10/10/08	10,072
11/10/08	10,073
12/10/08	10,073
13/10/08	10,074
14/10/08	10,074
15/10/08	10,075
16/10/08	10,075
17/10/08	10,076
18/10/08	10,076
19/10/08	10,077
20/10/08	10,077
21/10/08	10,078
22/10/08	10,078
23/10/08	10,079
24/10/08	10,08
25/10/08	10,08
26/10/08	10,081
27/10/08	10,081
28/10/08	10,082
29/10/08	10,083
30/10/08	10,083
31/10/08	10,084
01/11/08	10,084
02/11/08	10,085
03/11/08	10,086
04/11/08	10,086
05/11/08	10,087
06/11/08	10,087
07/11/08	10,087
08/11/08	10,088
09/11/08	10,088
10/11/08	10,088
11/11/08	10,089
12/11/08	10,089
13/11/08	10,09
14/11/08	10,09
15/11/08	10,09
16/11/08	10,09
17/11/08	10,091
18/11/08	10,091
19/11/08	10,092
20/11/08	10,092
21/11/08	10,092
22/11/08	10,092
23/11/08	10,093
24/11/08	10,093
25/11/08	10,093
26/11/08	10,093
27/11/08	10,094
28/11/08	10,094
29/11/08	10,095
30/11/08	10,095
01/12/08	10,096
02/12/08	10,096
03/12/08	10,097
04/12/08	10,097
05/12/08	10,098
06/12/08	10,098
07/12/08	10,098
08/12/08	10,098
09/12/08	10,099
10/12/08	10,099
11/12/08	10,099
12/12/08	10,1
13/12/08	10,1
14/12/08	10,1
15/12/08	10,1
16/12/08	10,101
17/12/08	10,101
18/12/08	10,101
19/12/08	10,102
20/12/08	10,102
21/12/08	10,102
22/12/08	10,102
23/12/08	10,102
24/12/08	10,103
25/12/08	10,103
26/12/08	10,103
27/12/08	10,103
28/12/08	10,104
29/12/08	10,104
30/12/08	10,104
31/12/08	10,104
01/01/09	10,105
02/01/09	10,105
03/01/09	10,105
04/01/09	10,105
05/01/09	10,105
06/01/09	10,106
07/01/09	10,106
08/01/09	10,106
09/01/09	10,106
10/01/09	10,107
11/01/09	10,107
12/01/09	10,107
13/01/09	10,107
14/01/09	10,108
15/01/09	10,108
16/01/09	10,108
17/01/09	10,108
18/01/09	10,109
19/01/09	10,109
20/01/09	10,109
21/01/09	10,109
22/01/09	10,109
23/01/09	10,109
24/01/09	10,109
25/01/09	10,109
26/01/09	10,109
27/01/09	10,109
28/01/09	10,109
29/01/09	10,109
30/01/09	10,109
31/01/09	10,109
01/02/09	10,109
02/02/09	10,109
03/02/09	10,109
04/02/09	10,109
05/02/09	10,109
06/02/09	10,109
07/02/09	10,109
08/02/09	10,109
09/02/09	10,109
10/02/09	10,109
11/02/09	10,109
12/02/09	10,109
13/02/09	10,109
14/02/09	10,109
15/02/09	10,109
16/02/09	10,109
17/02/09	10,109
18/02/09	10,109
19/02/09	10,11
20/02/09	10,11
21/02/09	10,11
22/02/09	10,11
23/02/09	10,11
24/02/09	10,11
25/02/09	10,11
26/02/09	10,109
27/02/09	10,11
02/03/09	10,11
03/03/09	10,11
04/03/09	10,11
05/03/09	10,11
09/03/09	10,109
10/03/09	10,11
11/03/09	10,109
13/03/09	10,109
16/03/09	10,109
17/03/09	10,109
18/03/09	10,109
19/03/09	10,109
20/03/09	10,109
23/03/09	10,108
24/03/09	10,108
25/03/09	10,108
26/03/09	10,108
30/03/09	10,108
31/03/09	10,108
01/04/09	10,108
02/04/09	10,108
05/04/09	10,107
06/04/09	10,107
09/04/09	10,107
13/04/09	10,107
15/04/09	10,107
16/04/09	10,107
17/04/09	10,107
20/04/09	10,106
21/04/09	10,106
