Date;Close
21/01/2011;10
24/01/2011;9,991
25/01/2011;9,99
26/01/2011;9,99
27/01/2011;9,989
28/01/2011;9,989
31/01/2011;9,988
01/02/2011;9,988
02/02/2011;10,003
03/02/2011;10,005
04/02/2011;10,042
07/02/2011;10,047
08/02/2011;10,05
09/02/2011;10,047
10/02/2011;10,047
11/02/2011;10,071
14/02/2011;10,053
15/02/2011;10,054
16/02/2011;10,057
17/02/2011;10,062
18/02/2011;10,076
21/02/2011;10,066
22/02/2011;10,066
23/02/2011;10,069
24/02/2011;10,064
25/02/2011;10,068
28/02/2011;10,069
01/03/2011;10,073
02/03/2011;10,076
03/03/2011;10,056
04/03/2011;10,032
07/03/2011;10,014
08/03/2011;10,035
09/03/2011;10,056
10/03/2011;10,061
11/03/2011;10,041
14/03/2011;9,992
15/03/2011;9,862
16/03/2011;9,762
17/03/2011;9,858
18/03/2011;9,864
21/03/2011;9,983
22/03/2011;9,959
23/03/2011;10,001
24/03/2011;10,046
25/03/2011;10,037
28/03/2011;10,045
29/03/2011;10,055
30/03/2011;10,089
31/03/2011;10,068
01/04/2011;10,073
04/04/2011;10,107
05/04/2011;10,124
06/04/2011;10,144
07/04/2011;10,142
08/04/2011;10,118
11/04/2011;10,119
12/04/2011;10,105
13/04/2011;10,122
14/04/2011;10,101
15/04/2011;10,119
18/04/2011;10,117
19/04/2011;10,108
20/04/2011;10,147
21/04/2011;10,153
26/04/2011;10,191
27/04/2011;10,187
28/04/2011;10,215
29/04/2011;10,202
02/05/2011;10,2
03/05/2011;10,205
04/05/2011;10,198
05/05/2011;10,226
06/05/2011;10,258
09/05/2011;10,235
10/05/2011;10,251
11/05/2011;10,282
12/05/2011;10,264
13/05/2011;10,264
16/05/2011;10,251
17/05/2011;10,23
18/05/2011;10,23
19/05/2011;10,224
20/05/2011;10,22
23/05/2011;10,195
24/05/2011;10,179
25/05/2011;10,192
26/05/2011;10,2
27/05/2011;10,184
30/05/2011;10,18
31/05/2011;10,156
01/06/2011;10,139
02/06/2011;10,128
03/06/2011;10,089
06/06/2011;10,087
07/06/2011;10,066
08/06/2011;10,063
09/06/2011;10,06
10/06/2011;10,027
13/06/2011;10,018
14/06/2011;10,023
15/06/2011;9,989
16/06/2011;9,989
17/06/2011;9,992
20/06/2011;9,942
21/06/2011;10,02
22/06/2011;9,978
23/06/2011;9,904
24/06/2011;9,88
27/06/2011;9,88
28/06/2011;9,898
29/06/2011;9,954
30/06/2011;10,053
01/07/2011;10,116
04/07/2011;10,095
05/07/2011;10,061
06/07/2011;9,987
07/07/2011;9,988
08/07/2011;9,943
11/07/2011;9,845
12/07/2011;9,845
13/07/2011;9,853
14/07/2011;9,828
15/07/2011;9,799
18/07/2011;9,697
19/07/2011;9,742
20/07/2011;9,84
21/07/2011;9,972
22/07/2011;9,989
25/07/2011;9,859
26/07/2011;9,885
27/07/2011;9,866
28/07/2011;9,917
29/07/2011;9,914
01/08/2011;9,827
02/08/2011;9,76
03/08/2011;9,723
04/08/2011;9,546
05/08/2011;9,65
08/08/2011;9,383
09/08/2011;9,539
10/08/2011;9,116
11/08/2011;9,283
12/08/2011;9,443
15/08/2011;9,553
16/08/2011;9,497
17/08/2011;9,512
18/08/2011;9,244
19/08/2011;9,128
22/08/2011;9,169
23/08/2011;9,226
24/08/2011;9,264
25/08/2011;9,204
26/08/2011;9,185
29/08/2011;9,317
30/08/2011;9,322
31/08/2011;9,459
01/09/2011;9,435
02/09/2011;9,268
05/09/2011;9,023
06/09/2011;8,983
07/09/2011;9,092
08/09/2011;9,143
09/09/2011;8,884
12/09/2011;8,613
13/09/2011;8,762
14/09/2011;8,932
15/09/2011;9,205
16/09/2011;9,242
