Date;Close
06/04/2010;10
07/04/2010;10
08/04/2010;9,999
09/04/2010;9,998
10/04/2010;9,997
11/04/2010;9,997
12/04/2010;9,996
13/04/2010;9,995
14/04/2010;9,994
15/04/2010;9,994
16/04/2010;9,993
17/04/2010;9,992
18/04/2010;9,991
19/04/2010;9,99
20/04/2010;9,99
21/04/2010;9,989
22/04/2010;9,988
23/04/2010;9,987
24/04/2010;9,987
25/04/2010;9,986
26/04/2010;9,985
27/04/2010;9,984
28/04/2010;9,983
29/04/2010;9,983
30/04/2010;9,982
01/05/2010;9,981
02/05/2010;9,98
03/05/2010;9,98
04/05/2010;9,982
05/05/2010;9,951
06/05/2010;9,924
07/05/2010;9,918
08/05/2010;9,918
09/05/2010;9,917
10/05/2010;9,979
11/05/2010;9,975
12/05/2010;9,974
13/05/2010;9,959
14/05/2010;9,941
15/05/2010;9,941
16/05/2010;9,94
17/05/2010;9,937
18/05/2010;9,933
19/05/2010;9,921
20/05/2010;9,922
21/05/2010;9,922
22/05/2010;9,922
23/05/2010;9,921
24/05/2010;9,92
25/05/2010;9,917
26/05/2010;9,927
27/05/2010;9,921
28/05/2010;9,92
29/05/2010;9,919
30/05/2010;9,919
31/05/2010;9,921
01/06/2010;9,928
02/06/2010;9,932
03/06/2010;9,935
04/06/2010;9,934
05/06/2010;9,934
06/06/2010;9,934
07/06/2010;9,931
08/06/2010;9,927
09/06/2010;9,926
10/06/2010;9,93
11/06/2010;9,939
12/06/2010;9,938
13/06/2010;9,938
14/06/2010;9,935
15/06/2010;9,946
16/06/2010;9,943
17/06/2010;9,944
18/06/2010;9,948
19/06/2010;9,949
20/06/2010;9,949
21/06/2010;9,958
22/06/2010;9,952
23/06/2010;9,954
24/06/2010;9,96
25/06/2010;9,954
26/06/2010;9,954
27/06/2010;9,954
28/06/2010;9,95
29/06/2010;9,945
30/06/2010;9,951
01/07/2010;9,954
02/07/2010;9,964
03/07/2010;9,964
04/07/2010;9,965
05/07/2010;9,97
06/07/2010;9,983
07/07/2010;9,996
08/07/2010;10,004
09/07/2010;10,008
12/07/2010;10,011
13/07/2010;10,02
14/07/2010;10,025
15/07/2010;10,034
16/07/2010;10,042
19/07/2010;10,046
20/07/2010;10,049
21/07/2010;10,057
22/07/2010;10,073
23/07/2010;10,086
26/07/2010;10,112
27/07/2010;10,123
28/07/2010;10,129
29/07/2010;10,146
30/07/2010;10,142
02/08/2010;10,157
03/08/2010;10,154
04/08/2010;10,168
05/08/2010;10,181
06/08/2010;10,181
09/08/2010;10,181
10/08/2010;10,178
11/08/2010;10,17
12/08/2010;10,164
13/08/2010;10,163
16/08/2010;10,176
17/08/2010;10,189
18/08/2010;10,198
19/08/2010;10,204
20/08/2010;10,211
23/08/2010;10,216
24/08/2010;10,217
25/08/2010;10,211
26/08/2010;10,211
27/08/2010;10,207
30/08/2010;10,211
31/08/2010;10,213
01/09/2010;10,215
02/09/2010;10,228
03/09/2010;10,253
06/09/2010;10,254
